text,trans
お疲れ様、凛世\r\nよく頑張ったな,"수고했어, 린제\r\n잘했어"
プロデューサーさま……\r\n今日の凛世は……いかがだったでしょうか？,프로듀서님……\r\n오늘의 린제는…… 어떠셨나요?
ああ、\r\nもちろん最高だったぞ！,"응,\r\n물론 최고였어!"
他の出演者にもよく馴染んでたし\r\nなんていうか……目を引く魅力があった,다른 출연자들과도 잘 친해지기도 했고\r\n뭐랄까…… 시선을 끄는 매력이 있었어
凛世は、カメラが回ると\r\n目とか口元のあたりまでグッと変わるんだよな,"린제는, 카메라가 돌면\r\n눈이나 입가 근처까지 많이 바뀌는구나"
……そのようなところまで\r\n見ておられるのですね……,……그러한 곳까지\r\n보고 계셨군요……
あ、いやっ、その……\r\nすごく、オーラがあるってことだぞ！,"아, 아닛, 그……\r\n굉장히, 오라가 있다는 거야!"
凛世はただ……\r\nモニターの向こうの貴方さまと、ファンのみなさまを……,"린제는 단지……\r\n모니터 너머의 당신과, 팬 여러분들을……"
想ったまででございます……,생각했을 뿐입니다……
プロデューサーさまと同じように……\r\n多くのみなさまにも……この気持ちが、届きますよう……,"프로듀서님과 같이……\r\n많은 여러분들에게도……이 기분이, 닿길 바라며……"
ふう……少し緊張したわ,후우…… 조금 긴장했어
お疲れさま、夏葉\r\nそうは見えないくらい、堂々としていたな,"수고했어, 나츠하\r\n그렇게 안 보일 정도로, 당당했었어"
そうかしら……ありがとう\r\n確かに、とても充実した時間だったわ,"그랬으려나…… 고마워\r\n확실히, 무척 충실한 시간이었어"
収録の内容も良かったと思うぞ,수록의 내용도 좋았다고 생각해
そうね、上手くいったところも多かったわ！\r\nそこは次回も同じように頑張らないとね,"그렇지, 능숙하게 한 부분도 많았어! \r\n거기는 다음에도 똑같이 노력해야겠지"
でも……まだまだ満足できないの\r\nあまりよくない部分もあったもの,하지만…… 아직 만족할 수 없어\r\n그다지 좋지 않았던 부분도 있었으니까
それじゃあ、次までに良くしないとな,"그러면, 다음 기회까지 좋게 만들어야겠는 걸"
ええ、もちろんよ！\r\n次は、完璧な私を見せてあげるわ！,"응, 물론이야! \r\n다음엔, 완벽한 나를 보여주겠어!"
収録お疲れさま\r\n夏葉、大活躍だったな！,"녹화 수고했어\r\n나츠하, 대활약이었네!"
ありがとう！\r\n自分でも手ごたえを感じてるわ♪,고마워!\r\n스스로도 성취감을 느꼈었어♪
それにお客さんが、すごく楽しそうだった,"거기에 관객들이, 굉장히 즐거워 보였어"
ええ！　そうなの！\nみんなの笑顔がとても印象的だったわ,그래! 맞아! \r\n모두의 미소가 무척 인상적이었어
それを見て、私まで楽しくなれたの\r\nだから……,"그걸 보면서, 나까지 즐거워졌어\r\n그러니까……"
ファンのみんなにもっと喜んでもらえるよう、\r\n頑張りましょう！,"팬 모두가 더욱 기뻐할 수 있도록, \r\n열심히 하자!"
そうだな！　もっと夏葉の魅力を伝えていこう！,그렇지! 더욱 나츠하의 매력을 알리도록 하자!
はぁ、テレビって緊張するね……！\r\nちょっと疲れちゃったかも,"하아, 텔레비젼은 긴장되네……! \r\n조금 지쳤을지도"
お疲れ、よかったぞ,"고생했어, 나는 좋았어"
う～ん、そうかな？\r\n甘奈はあんまりうまくできなかった感じがするよ？,"으~ 음, 그럴까?\r\n아마나는 그다지 잘 하지 못했던 느낌이 드는데?"
そんなことない\r\nちゃんとやれていたさ,그렇지 않아\r\n제대로 하고 있었어
そうかな～、やっぱりカメラがあると\r\nいつもレッスンしてる時とは違う感じがするよ～,"그러려나~, 역시 카메라가 있으면\r\n언제나처럼 레슨하고 있던 때와는 다른 느낌이 들어~"
いつもみたいに、ステップできなかったもん,"평소처럼, 스텝을 밟을 수 없었는걸"
でも、しっかりと分析ができていて偉いぞ！,"하지만, 제대로 분석하고 있었으니까 장하네!"
えへへ、そう言ってくれると嬉しいかな,"에헤헤, 그렇게 말해주면 기쁘려나"
よし、今日できなかったところをしっかり克服しよう,"좋아, 오늘 못했던 부분을 제대로 극복하자"
だね！\r\nありがとうプロデューサーさん☆,그렇지! \r\n고마워 프로듀서님☆
うーん、終わったー！,"으ー음, 끝났다ー!"
お疲れ、なんだかいい顔してるな,"수고했어, 왠지 좋은 얼굴을 하고 있구나"
えへ、今回はかなりいい感じだったかな！\r\nいつもみたいに上手くダンスできたと思うんだ☆,"에헤, 이번엔 꽤 좋은 느낌이었으려나! \r\n평소처럼 능숙하게 댄스가 됐다고 생각하거든☆"
プロデューサーさんから見て、どーだった？,"프로듀서님이 보기엔, 어땠어?"
ああ、明るい甘奈のいいところが出てたな,"응, 밝은 아마나의 장점이 드러났었어"
えへへ、だったら良かったかな☆,"에헤헤, 그러면 다행이려나☆"
番組に出ると\r\n学ぶことがたくさんあるね！,방송에 나가면\r\n배울 것이 많네!
じゃあ、その学んだところを次に生かそう！,"그러면, 그 배운 걸 다음에 활용하자!"
うんっ！　それで番組を盛り上げて、\n見てくれた人にいっぱい楽しんでもらうんだ☆,"응! 그래서 방송을 띄우고, \r\n봐 준 사람들이 잔뜩 즐기게 하는 거야☆"
お疲れ様。いいパフォーマンスだったぞ！,수고했어. 좋은 퍼포먼스였어!
甜花、何してたのか……あんま、覚えてない……\r\nいっぱい人がいて……話したりとか、苦手だから……,"텐카, 뭘 했는지…… 그다지, 기억이 나지 않아……\r\n사람들이 잔뜩 있는 데서…… 토크 같은 건, 서투르니까……"
プ、プロデューサーさん……\r\n甜花、おかしなとこなかった……？,"프, 프로듀서님……\r\n텐카, 이상한 곳 없었어……?"
確かに緊張が伝わってきたな\r\nでも、甜花の良いところもいっぱい出てたぞ,"확실히 긴장한 게 전해졌지\r\n하지만, 텐카의 좋은 모습도 잔뜩 보였어"
にへへ……そうかな……？　\nそうだったら……嬉しい……,니헤헤…… 그런가……? \r\n그렇다면…… 기뻐……
ああ、それに苦手なら、これから慣れていけばいいさ\r\n甜花なら、きっと乗り越えられるはずだ,"그래, 게다가 서투르다면 지금부터 익숙해지면 되는 거야\r\n텐카라면 분명 넘어설 수 있을 거야"
う、うん……プロデューサーさん……\r\n甜花、次は、もっと、できるように……なりたい……,"으, 응…… 프로듀서님……\r\n텐카, 다음엔 좀 더, 잘 할 수 있도록…… 되고 싶어……"
だから、色々、教えて欲しい……\n甜花……頑張りましゅ！　あ、にへへ……,"그러니까, 여러가지, 가르쳐줬으면 해……\r\n텐카…… 노력하겠슙니다! 아, 니헤헤……"
甜花、よくやったな！\r\nすごい盛り上がりだったぞ！,"텐카, 정말 잘했어!\r\n엄청나게 분위기가 달아 올랐다구!"
今日は、歌もダンスも……あんまり、失敗しなくて……\r\nファンの人たち、みんな喜んでた……,"오늘은, 노래도, 댄스도…… 그다지, 실패하지 않아서……\r\n팬 여러분, 모두 즐거워했어……"
あ、あの……次はね……もっと、\r\n楽しくお話しできるようにしたいなって……思ってて……,"아, 저기…… 다음엔…… 좀 더 \r\n즐겁게 이야기 할 수 있게 되면 좋겠다…… 생각해서……"
なーちゃんや千雪さんと一緒に……\nいっぱい、テレビに出られるように、なりたいから……,"나쨩이나 치유키 씨하고 함께……\r\n잔뜩, TV 나갈 수 있게, 되고 싶으니까……"
甜花の頑張りがあれば、きっとできるさ,"텐카의 노력이 있다면, 분명 가능할 거야"
プ、プロデューサーさんとなら、できそう……\r\nだから甜花……もっともっと、頑張る……っ,"프, 프로듀서님과 함께라면, 될 거 같아……\r\n그러니까 텐카…… 더더욱, 노력할게……"
ああ、これからも頑張ろう！,"그래, 앞으로도 힘내자!"
うん……プロデューサーさんと一緒に……！,응…… 프로듀서님과 함께……!
お疲れ様、千雪\r\n堂々としてたな……ベテランの風格があったぞ,수고했어 치유키\r\n당당했어…… 베테랑의 풍격이 느껴졌는걸
い、いえ、そんな……\r\n緊張して、全然上手く喋れませんでした……,"아, 아뇨, 그런……\r\n긴장돼서 전혀 말을 잘할 수 없었어요……"
カメラを意識すると緊張して\r\n俯いてしまったりして……,카메라를 의식하면 긴장해서\r\n머리를 숙이기도하고……
はは、そんな風には見えなかったぞ,"하하, 그렇게 보이지는 않았다고"
そ、そうですか……？,"그, 그랬나요……?"
千雪が心の中でどう思っていようと、カメラやみんなの目に\r\n映った姿がアイドルとしての桑山千雪なんだ,"치유키가 마음 속으로 어떻게 생각하든, 카메라나 모두의 눈에\r\n비친 모습이 아이돌으로서의 쿠와야마 치유키야"
みんなが堂々としてたって言うなら、そういうことなんだ,"모두가 당당하게 보였다고 말한다면, 그런 거야"
……ふふ、プロデューサーさんの作戦、乗りました♪\r\nなんだか、そう考えると少し気が楽になりますね,"……후후, 프로듀서님의 작전, 넘어가드릴게요♪\r\n어쩐지 그렇게 생각하니 마음이 편해졌어요"
いつか、本当に堂々とできるように\r\nもっと頑張ります！,"언젠가, 정말로 당당하게 설 수 있도록\r\n더욱 노력할게요!"
（常に努力と反省を忘れない向上心……\r\n千雪は、きっと大物になるな！）,(항상 노력과 반성을 잊지않는 향상심……\r\n치유키는 분명 크게 될 거야!)
すごいぞ千雪、大成功だ！\r\nあんなにアドリブがきくなんて……！,"대단해 치유키, 대성공이다!\r\n그렇게 애드립이 통하다니……!"
急に犬の真似を振られて、すかさず『わん♪』だもんな……\r\n千雪の可愛らしさをしっかりアピールできていたぞ,"갑자기 개의 흉내를 내며, 곧바로 『멍♪』이라니……\r\n치유키의 귀여움을 확실히 어필했다고"
い、いえ……どうすればもっと喜んでもらえるかな？\r\nって考えてたら、自然と動けたんです,"아, 아뇨…… 어떻게 해야 좀 더 기뻐해주려나\r\n하고 생각했더니, 자연스럽게 움직여졌어요"
わん、は無意識でしたけど……,멍……은 무의식적으로 한 거지만……
いや……ほんと堂々としてたよ,아니…… 정말 당당했어
きっと普段から、みんなを喜ばせるために……って\r\n考えて行動してるからなんだろうな,분명 평소에도 모두를 기쁘게 하기 위해서……라고\r\n생각하고 행동했으니까 그렇겠지
いえ……毎日、自分にとって楽しいことばかりなんです\r\n私、本当に幸せ者だなあって思います,"아뇨…… 매일, 저에게 있어 즐거운 일들뿐이에요\r\n전, 정말로 행복한 사람이라고 생각해요"
ファンのみなさんや、プロデューサーさんのような\r\n素敵な人たちが周りにいるんですから,팬분들이나 프로듀서님 같은\r\n멋진 분들이 곁에 있으니까요
……そうか\r\n千雪がこの先どうなっていくのか、本当に楽しみだよ,……그런가\r\n치유키가 앞으로 어떻게 될지 정말로 기대되는걸
私も、この先のこと……明るく考えてます\r\n……プロデューサーさんも、ずっと見ていてくださいね？,저도 앞으로 있을 일들…… 긍정적으로 생각하고 있어요\r\n……프로듀서님도 계속 지켜봐 주실 거죠?
いいよ,좋아
ごめん,미안
そ、そうか,"그, 그랬군"
そうだね……,그렇네……
あ～、ちょー楽しかった♪,"아~, 초ー즐거웠어♪"
マジ、チャージ満タンってカンジ！\n明日からまた頑張るわ～,"레알, 충전만땅인 느낌!\n내일부터 또 열심히 할께~"
ありがとうございます、プロデューサー,"감사합니다, 프로듀서"
ありがとうございます……♪,감사합니다……♪
わぁ……,와……
プロデューサー、うちが上手くやっとくわ～,프로듀서 내가 잘 해볼게
フォローもこなせるチョコアイドル、なので！,뒷바라지도 해낼 수 있는 초코 아이돌이니까!
甜花、フォロー、してみるね……,"텐카, 뒷바라지, 해요……"
プロデューサーのために、頑張ってあげますー,"프로듀서를 위해서, 노력할게요-"
プロデュ－サ－、ここはアタシがなんとかしてやる,"프로듀서, 여기는 내가 어떻게든 할게"
私がなんとかしておくから\r\n仕事に集中なさいな,내가 어떻게든 해둘 테니까\r\n일에 집중하고 있어
あんた、ふゆとの約束忘れてるんじゃないでしょうね？,"너, 후유랑 한 약속 잊은 거 아니지?"
もしかして、おバカさんなの？\nふゆのプロデューサーなら、ちゃんとしてよね,"혹시 바보인거야?\n후유의 프로듀서라면, 제대로 해"
プロデューサーさん！,프로듀서님!
ん？　どうしたんだ？,응? 무슨 일이야?
わたしならなんとかできるかもっす！,저라면 어떻게든 될 것 같슴다!
プロデューサー、ゴメン、しくっちゃった,"프로듀서, 미안, 실수했어"
次はちゃんとやっから、カンベンね！,"다음엔 똑바로 할테니까, 참아줄거지!"
……約束、してたじゃない……,"……약속, 했었잖아……"
……ま、まあ、今回は許してあげる！\nその代わり、仕事ではちゃんとしなさいよ！,"……뭐, 뭐어, 이번엔 봐줄게!\n그 대신에, 일은 똑바로 해!"
あーあ、今日はボーカルレッスンのつもりで\n喉整えてきたのにー,"아ー아, 오늘은 보컬 레슨할 생각으로\n목을 가다듬고 왔는데ー"
どっかのプロデューサーのせいで、\nボーカルレッスンできなかったなー,"어딘가의 프로듀서 때문에,\n보컬 레슨 못하게 되버렸네ー"
わたしがなんとかするから！,내가 어떻게든 할테니까!
私がなんとかしてくるよ,내가 어떻게든 해볼게
うちがなんとかするけん！\nプロデューサーは安心してよか！,나가 어떻게든 해볼텡께!\n프로듀서는 안심혀도 되야!
かなり集中出来たっす！\nおかげですごいことがわかったんす！,상당히 집중이 잘됐슴다!\n덕분에 굉장한 걸 알게 됐슴다!
プロデューサーさん、今度、教えてあげるっすよ！\nすごいこと！,"프로듀서님, 굉장한 거!\n다음에 알려드리겠슴다!"
プロデューサーさま\n凛世に、お任せください,"프로듀서님\n린제에게, 맡겨 주십시오"
……あなたに何かしてあげる義理は無いんですが,……당신한테 뭔가 해줄 의리는 없지만
プロデューサーさん！\nこうしたらどうでしょうか？,프로듀서님!\n이러면 어떨까요?
プロデューサーさん……,프로듀서님……
次は、研究、させてくださいっす……！,"다음엔, 연구, 하게 해주셨음 함다……!"
ふふ、私が何とかしてみますね,"후후, 제가 어떻게든 해보일게요"
プロデューサーさん、私がなんとかしてあげますねー？,"프로듀서님, 제가 어떻게든 해드릴게요ー?"
予定がつまってるのに、休めないですよね\n私もプロ、ですから……,"예정이 꽉 찼으니까, 쉴 수 없는 거겠죠\n저도 프로, 니까요……"
プロデューサー、ちょっと聞いて……！,"프로듀서, 잠깐 들어봐……!"
ど、どうでしたか\nプロデューサーさん……！,"어, 어땠나요
프로듀서님……!"
うん、すごくよかったよ\n小糸、成長したな,"응, 엄청 좋았어
코이토, 성장했구나"
で、ですよね……！\nわたしもそんな気がして……,"그, 그렇죠……!
저도 그런 느낌이 들어서……"
ああ、見ている人にも小糸のよさが\n伝わったと思うよ,"응, 보고 있던 사람한테도 코이토의 성장이
전해졌다고 생각해"
え、えへへ……,"에, 에헤헤……"
あ、い、いえ……！\nまあこのくらい……と、当然ですけどね……！,"아, 아, 아뇨……!
뭐 이정도…… 다, 당연한 거지만요……!"
はは、自信が持てたみたいで何よりだよ,"하하, 자신감이 생긴 것 같아 다행이네"
な、なんですかー！\nわたしはいつも自信たっぷりですよ、プロデューサーさん！,"뭐, 뭔가요!
저는 항상 자신만만이라구요, 프로듀서님!"
そうだったな\nすまんすまん,"그랬었지
미안 미안"
も、もう……！　次はもっと頑張って、\nプロデューサーさんをあっと驚かせますからね……！,"저, 정말……! 다음엔 더욱 열심히 해서
프로듀서님을 깜짝 놀라게 할 거라구요……!"
────ごちそうさまでした,────잘 먹었습니다
腹が膨れたら……ふぁ……眠気が……,배가 부르니까…… 후아……졸음이……
お昼休みが終わるまで少しだけ休むか\n……アラーム、セット……よし,"점심시간 끝날 때까지 잠깐 쉴까\n……알람, 세팅……오케이"
おやすみなさい──……,안녕히 주무세요──……
……？　──あ……プロデューサーさん……\n寝てる、のかな……？,"……? ──아……프로듀서님……\n자고, 있는 걸까……?"
……ぷ、プロデューサーさん\nその……アラーム鳴ったみたいです……,"……프, 프로듀서님\n그…… 알람 울리는 것 같아요……"
……ほわ,……호와
…………起きてください\nプロデューサーさん……,…………일어나 주세요\n프로듀서님……
お、おはようございます……\n少しは、お休みできましたか……？,"아, 안녕하세요……\n좀, 쉬셨나요……?"
ちょっと……\n打ち合わせだって言ってきたのはあんたのはずよね……！？,쫌……\n회의라고 했던 건 너잖아……!?
ほんっと最悪……！,진짜 최악이야……!
……ふゆのこと待たせて\n眠りこけてんじゃないわよ、もう……！,"……후유를 기다리게 하다니\n자고 있을 때가 아니라고, 정말……!"
…………起きたんだったら、早く機嫌とりなさい,"…………일어났으면, 빨리 정신차려"
──……あっ、あれ……？\n起きなくて大丈夫なのかな……,"──……앗, 어라……?\n안 일어나도 괜찮은 건가……"
…………大丈夫じゃないよね……！,…………괜찮을 리가 없잖아……!
プロデューサーさーん……？\n時間、遅れちゃいませんかー……？,"프로듀서님……?\n시간, 늦지 않나요ー……?"
おはようございます、起こしちゃってすみません……\nお仕事ですか？　頑張ってくださいね！,"안녕하세요, 깨워서 죄송해요……\n일이신가요? 힘내주세요!"
プロデューサー？\nアラーム気付いて──ないなぁ、これは,프로듀서?\n알람 눈치 못챘구만──이건
……しかし、この時期の三峰の前にしては、\n少し無防備すぎじゃあないですかねぇ……,"……근데, 이 시기의 미츠미네를 앞에둔 거 치곤,\n너무 무방비한거 아닙니까요……"
……こーら\nもう起きる時間だぞー、お兄さん？,"……자\n이제 일어날 시간이라구ー, 오빠?"
あははっ、おはようＰたん！\n目は覚めたね？　イタズラは成功かな？,"아하핫, 안녕 P땅\n정신 차렸어? 장난은 성공이려나?"
プロデューサー……\nこんなところで寝たら風邪を引きますよ,프로듀서……\n이런 곳에서 자면 감기걸릴거라구요
……………………\nプロデューサー、寝てますよね……？,"……………………\n프로듀서, 자고 있는 거죠……?"
──プロデューサー……\n仕事、お疲れ様です。いつもありがとうございます,"──프로듀서……\n일, 수고하셨어요. 항상 고맙습니다"
ひっ！　……あ、ええと、なんでもありません\n──その……き、聞こえてました、か……？,"힉!　……아, 그게, 아무것도 아니에요\n──그……드, 들으신 건가요……?"
あら？　アラーム鳴りやんじゃった……,어라? 알람 울리고 있네……
プロデューサーさん、まだ夢の中みたい,"프로듀서님, 아직 꿈나라인 것 같아"
ほら、起きないと遅刻しますよ……,"자, 일어나지 않으면 지각해버려요……"
ふふっ\nおはようございます……！,후훗\n안녕하세요……!
……何、この音,"……뭐야, 이 소리"
…………え、寝てる……,"…………에, 자고 있어……"
…………,…………
仕事場のデスクで熟睡とか\n……流石ですね、ミスター・ドリーマー,"일하는 곳의 책상에서 숙면이라니\n……대단하시네요, 미스터 드리머"
プロデューサーなんか鳴っとるよ～？\n…………寝とると？,프로듀서 뭔가 울리고 있구마잉~?\n…………자고 있는겨?
ほ、ほんとに寝とると～…………？,"차, 참말로 자고 있는겨~…………?"
……プロデューサー\nうち――……,……프로듀서\n나――……
ふぇ、ぷ、プロデューサー！？\nお、起きとったと～……！？,"후에, 프, 프로듀서!?\n일어난겨~……!?"
……ふむ\n気持ちよく眠っているアナタを起こすのは気が引けるけれど,……흠\n기분 좋게 자고 있는 당신을 깨우는 건 내키지 않지만
後で困るのはアナタだものね\n私も心を鬼にしよう,나중에 곤란해지는 건 당신인걸\n나도 마음을 독하게 먹어야지
──さぁ起きて、プロデューサー,"──자, 일어나, 프로듀서"
残念だけれど、\n心地よいうたた寝とはお別れの時間だよ,"아쉽지만,\n기분 좋은 선잠과는 이별할 시간이야"
プロデュー──……\n……って、寝てるしー,"프로듀──……\n……아니, 자고 있네ー"
……ケド、ふふー\nこれ、据え膳ってやつー？,"……그래도, 후후ー\n이게, 차려진 밥상이란 건가ー?"
ふー……,후ー……
おはようございまぁす\nふふー、ナイスリアクションー,"안녕하세요오\n후후ー, 나이스 리액션ー"
プロデューサー？　プロデューサー！\n……すごい、起きない！,"프로듀서? 프로듀서!\n……대단해, 안 일어나!"
…………うん,…………응
──プロデューサー？　起きないなら……\n思いっきりくすぐっちゃおうかなー……？,──프로듀서? 안 일어날 거면……\n마음껏 간지럽혀버릴까ー……?
あははっ！　おはよう、プロデューサー！\nくすぐりの刑はおあずけだね！,"아하핫! 안녕, 프로듀서!\n간지럼 형벌은 미뤄졌네!"
プロデューサーさん……\n寝てる……？,프로듀서님……\n자고 있어……?
お……\nおはようございまーす……！,아……\n안녕하세요ー……!
テッテレー……\nにへへ……ドッキリ、大成功……！,"짜자잔ー……\n니헤헤……놀래키기, 대성공……!"
……え、寝てる？,"……에, 자고 있어?"
……うわ、寝てるわ,"……우와, 자고 있네"
ふー,후ー
……\n起きてんじゃん,……\n일어났잖아
────プロデューサーさん……？,────프로듀서님……?
……\n起きて……ますか……？,……\n일어나……계신가요……?
──\nようこそ……ハロウィンの国へ……,──\n어서 오세요……할로윈의 나라에……
わ……！　ふふ……\n────ようこそ……,와……! 후후……\n────어서 오세요……
ん～？\nプロデューサー、寝てます～？,"응~?\n프로듀서, 자고 있어요~?"
ね、プロデューサー起きて～？\n起きないの～？,"저기, 프로듀서 일어나~\n안 일어나~?"
…………あは～……\nはやく起きないと～――……,…………아하~……\n얼른 안 일어나면~――……
やは～♡　ざんねん～\nプロデューサー起きちゃった～,야하~♡ 아쉽네~\n프로듀서 일어나버렸어~
――ぴぇ！？\nあ……アラーム……,――삐에!?\n아……알람……
プロデューサーさん……？\nね、寝てますか……？,"프로듀서님……?\n주, 주무시고 계신가요……?"
こんなところで寝てると\n風邪引いちゃいますよー……,이런 데서 주무시면\n감기 걸려요ー……
わ……！　び、びっくりした……\nお、おはようございます……！,"와……! 까, 깜짝이야……\n아, 안녕하세요……!"
プロデュ────\n────も……申し訳ございません……,프로듀────\n────죄……죄송합니다……
眠って……いらっしゃるのですね……\n……────,주무시고……계시는군요……\n……────
────……\nお優しい……お顔……,────……\n다정하신……얼굴……
────！\nあ、あの……あの…………,"────!\n아, 저기……저기…………"
プロデューサーさ……\nあ……すごく気持ちよさそう……,프로듀서니……\n아……엄청 기분 좋아보여……
……いつも頑張ってるもんね……\n今はお寝坊さん、しちゃおっか,……항상 열심히 하고 있지……\n지금은 잠꾸러기인 채로 내버려둘까
えへへ……いい夢、見られてるといいな……,에헤헤……좋은 꿈 꾸고 있으면 좋겠다……
わ！　……お、おはよう……！\nプロデューサーさん……！,"와! ……아, 안녕……!\n프로듀서님……!"
……おーい\n鳴ってんぞー……って、寝てんのか,"……어이ー\n울리고 있다고ー……아니, 자고 있는 거냐"
プロデューサー、起きなくていいのかー？　\n……疲れてんのかな,"프로듀서, 안 일어나도 돼ー?　\n……피곤한가"
………………\nいつも、あ、ありが――……,"………………\n항상, 고, 고마――……"
う、うわ……！\n寝てたんじゃないのかよ……！,"우, 우와……!\n자고 있던 거 아니었냐고……!"
プロデューサーさん！\nこれうるさいっす！,프로듀서님!\n이거 시끄럽슴다!
……止めちゃおっと,……멈춰야지
……あ、暗証番号わかんない,"……아, 비밀번호 몰라"
プロデューサーさーん！\nスマホ！　止めるっす～！,프로듀서님ー!\n폰! 멈추시는 검다!
起きたっすね！\nアラーム、切ってほしいっす！,"일어나셨네요!\n알람, 꺼주셨음 함다!"
――あら、プロデューサー？,"――어머, 프로듀서?"
眠ってしまったのかしら\n……ここの所、忙しかったものね,잠들어 버린 걸까\n……요즘 바쁘긴 했지
……あと少ししたら、\n起こしてあげるわね,"……조금만 있다가,\n깨워줄게"
うふふ、プロデューサーおはよう\nよく眠れたかしら？,"우후후, 프로듀서 안녕\n잘 잤어?"
プロデューサー、なんか鳴ってるよ～！\n起きなくていいカンジ～？,"프로듀서, 뭔가 울리고 있어~!\n안 일어나도 되는 느낌~/"
仕事とかあったらヤバいよね……！\n……よし……！,일이 있는 거면 큰일이지……!\n……좋아……!
……ずーっと起きない悪い子は～……\nうちが食べちゃうぞ～♪,……계ー속 안 일어나는 나쁜 아이는~……\n내가 먹어버린다구~♪
おぉ～、起きた起きた～！\nおはよ！　プロデューサー！,"오~, 일어났다 일어났다~!\n안녕! 프로듀서!"
プロデューサーさーん！　今、アラーム音が──\n……あれ？　あっ……！,프로듀서님ー! 지금 알람 소리가──\n……어라? 앗……!
おひるねしてる……\nじゃあ、起きる時間なのかな……？,"낮잠 자고 있어……\n그럼, 일어날 시간이려나……?"
プロデューサーさーん！\n起きてくださーい！,프로듀서님ー!\n일어나주세요ー!
おはようございますっ！\n目覚まし鳴りました！　起きる時間ですー！,안녕하세요!\n알람 울렸어요! 일어날 시간이에요ー!
お疲れ様でした！,수고하셨습니다!
……こんなので『まずまずだ』とか言われると\nもう嫌味にしか聞こえないんですよねー,……이런 걸로 『그런대로 괜찮다』 같은 소리 들으면\n이젠 비꼬는 말로밖에 들리지 않네요ー
ダンスレッスンなんですけど、\n二週間後、お願いしますね！,"댄스 레슨 말인데요,\n2주 후에, 부탁드릴게요!"
どうもです！,감사해요!
えー！　超ありえなくないですか！？,에ー! 완전 말도 안 되지 않나요!?
言われたんですよねー、この前メイクさんに\n遊びで可愛いメイクと、カメラ前で可愛いやつは違うって,"말씀하셨었죠ー, 저번에 메이크업 아티스트분께서\n장난으로 귀여운 메이크업하고, 카메라 앞에서 귀여운 건 다르다고"
というわけで今週、\nビジュアルレッスン入れといてください！,"그러니까 이번 주에,\n비주얼 레슨 넣어주세요!"
というわけで二週間後、\nビジュアルレッスン入れといてください！,"그러니까 2주 뒤에,\n비주얼 레슨 넣어주세요!"
あの、今週って休めます？,"저, 이번 주 쉴 수 있나요?"
────即答できないんならいいですけど\n私だって休みたくてお願いしてるんじゃないので！,────바로 대답하실 수 없는 거면 괜찮은데요\n저도 쉬고 싶어서 부탁드리는 건 아니라서요!
どうです……！？\nなんか……やっぱり違いますよね！,어때요……!?\n뭔가……역시 다르죠!
今、一枚撮っといてくれません！？\n今です、早く！　使えますって、この感じは……！,"지금, 한 장 찍어두실래요!?\n지금요, 빨리! 쓸만하다니까요, 이 느낌……!"
──ぜんっぜん……ダメです,──완전……틀렸어요
今週、ボーカルレッスン入れとかないと\nやばくないです？,이번 주에 보컬 레슨 안 넣으면\n위험하지 않아요?
というわけで一週間後、\nビジュアルレッスン入れといてください！,"그러니까 일주일 뒤에,\n비주얼 레슨 넣어주세요!"
あの、二週間後って休めます？,"저, 2주 뒤에 쉴 수 있나요?"
あの、一週間後って休めます？,"저, 일주일 뒤에 쉴 수 있나요?"
ダンスレッスンなんですけど、\n今週、お願いしますね！,"댄스 레슨 말인데요,\n이번 주에, 부탁드릴게요!"
一週間後、ボーカルレッスン入れとかないと\nやばくないです？,일주일 뒤에 보컬 레슨 안 넣으면\n위험하지 않아요?
二週間後、ボーカルレッスン入れとかないと\nやばくないです？,2주 뒤에 보컬 레슨 안 넣으면\n위험하지 않아요?
ふぅ……！\nやっぱり、やるとやらないとじゃ違いますね！,"후……!\n역시, 해보고 안 해보고는 차이가 있네요!"
帰っておさらいしよっと,돌아가서 복습해야지
ダンスレッスンなんですけど、\n一週間後、お願いしますね！,"댄스 레슨 말인데요,\n일주일 뒤에, 부탁드릴게요!"
あれ？　ダンスレッスン…………,어라? 댄스 레슨…………
いや、できないんだったら言ってほしいんですけど？\n────自主練してきますねー,"아니, 안 되면 안 된다고 말씀해주셨으면 하는데요?\n────자율연습 하고 올게요ー"
……なんていうか、ちょっとびっくりしてます\nえー……私だけなんですかね、焦ってるの────,"……뭐라고 할까, 조금 놀라고 있어요\n에ー……저뿐인 걸까요, 초조해 하는 거────"
────大丈夫ですよ,────괜찮아요
むしろ、『休めてないだろ』とか……\n心配される方が面倒なので,"오히려, 『쉬지 않고 있잖아』 같이……\n걱정하시는 쪽이 더 귀찮아서요"
めっっちゃ声出たと思いません！？,엄청 목소리 나왔다고 생각 안 하세요!? 
あははっ\nほら、レッスンしといてよかったじゃないですかー！,"아하핫\n봐요, 레슨해두길 잘 했잖아요ー!"
あ、お疲れ様でーす,"아, 수고하십니다ー"
休んだ分、一気に取り戻してくんで\nサポートお願いしますねー！,"쉬었던 분량, 단번에 만회할 테니까\n서포트 부탁드릴게요ー!"
────あの、いいです、微妙に励ます言葉とか……,"────저, 괜찮아요, 미묘하게 격려하는 말 같은 건……"
やばいってことくらい、自分でわかってるので,"위험하다는 것 정도는, 저 자신도 알고 있으니까요"
…………えーと\nレッスンできないってことですよね,…………저기ー\n레슨 못 한다는 거죠
